FUNCTIONAL_BIG_CORE,string,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
FORM_FACTOR_DIMENSION,string,50X25,45x32,45x32,45x32,50X25,45x32,45x32,45x32,45x32,50X25,50X25,45x32,45x32,45x32,50X25,50X25,45x32,45x32,45x32,45x32,45x32,50X25,45x32,50X25,45x32,50X25,45x32,45x32,50X25
FORM_FACTOR_CODE,string,1KFN,1KFN,1KFN,1KFN,1KCY,1KFN,1KFN,1KFN,1KFN,1KFN,1KCY,1KFN,1KFN,1KFN,1KCY,1KFN,1KFN,1KFN,1KFN,1KFN,1KFN,1KFN,1KFN,1KCY,1KFN,1KCY,1KFN,1KFN,1KFN
forecastPackage,string,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC,AC
forecastName,string,80777061B2,80777061B2,80777061B2,80777061B2,807773B9B5917,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,807773B9B5916,80777061B2,80777061B2,80777061B2,807773B9B5919,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,80777061B2,807773B9B5915,80777061B2,807773B9B5918,80777061B2,80777061B2,80777061B2
FIXED_PERMISSIONS_FLASH_MASTER,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
FINISHED_GOOD_TYPE,string,VST,VST,VST,VST,ES2,VST,VST,VST,VST,VST,ES2,VST,VST,VST,ES2,VST,VST,VST,VST,VST,Pre-Silicon,VST,VST,ES2,VST,ES2,VST,Safe/Static PO,VST
fgTemplate,string,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales,Nova Lake Mobile;Default Engineering Plants;Default Engineering Sales
fgApproval,string,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved,Unapproved
FB_S0I2_ENABLE_FUSE,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ETEMP_UOM,string,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ETEMP,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
ESEODCACRT_KeyTypeID,string,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,0,4628,4628,4628,4628,4628,4628,0,4628
ESEODCA_KEYTYPEID,string,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,0,4628,4628,4628,4628,4628,4628,0,4628
ERR_CRCT_CODE_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
environmentCompRollupCode,string,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM,Empty BOM
ENDEBUG_KEYTYPEID,string,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019,3019
EDP,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DYNAMIC_SKUING_IND,string,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED,DISABLED
DNX_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DISPLAY_VIRTUALIZATION,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
DISPLAY_PIPE_IND,string,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D,PIPE_A+B+C+D
DIE,string,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe,8164_2xe
DDR5_FREQ,string,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
D2D_KEYTYPEID,string,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580,4580
CSMEODCACRT_KeyTypeID,string,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,0,4631,4631,4631,4631,4631,4631,0,4631
CSMEODCA_KEYTYPEID,string,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,4631,0,4631,4631,4631,4631,4631,4631,0,4631
CPUID,string,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31,300F31
CPU_TYPE_ENCODING,string,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU,MOBILE_SUPERSKU
CPU_SPEED_IN_LOW_FREQ_MODE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
CPU_SPEED_IN_LOW_FREQ_MODE,string,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CPU_PCI_DEVICE_ID_DID0,string,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705,D705
CPU_DIE_TJMAX_THROTTLE_NUMBER,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPU_DIE_TJMAX_DO_NOT_EXCEED,string,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
CPU_BRAND_STRING,string,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000,Genuine Intel(R) 0000
COPPER_POINT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
COMPUTE_DIE_STEPPING,string,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
COMPUTE_DIE_CONFIG,string,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P,NVL_CPU_816_N2P
COMMENTS,string,"[VST A0 PO] NVL-HX8164 32EU - Static PO ",[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,"[VST A0 PO] NVL-HX8164 32EU - Static PO ",[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,ES2.NVL.MB.8+12.HX.QCLK_3600.D2D_4.4,[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,"[VST A0 PO] NVL-HX8164 32EU - Static PO ",[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,ES2.NVL.MB.8+16.HX.QCLK_3600.D2D_4.4,"[VST A0 PO] NVL-HX8164 32EU - Static PO ","[VST A0 PO] NVL-HX8164 32EU - Static PO ","[VST A0 PO] NVL-HX8164 32EU - Static PO ",ES2.NVL.MB.8+16.HX.QCLK_3200.D2D_4.4,[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,"[VST A0 PO] NVL-HX8164 32EU - Static PO ",[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,"[VST A0 PO] NVL-HX8164 32EU - Static PO ","[VST B0 PO] NVL-HX8164 32EU - Static PO ","[VST A0 PO] NVL-HX8164 32EU - Static PO ",[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,ES2.NVL.MB.8+16.HX.QCLK_3600.D2D_4.8,[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,ES2.NVL.MB.8+12.HX.QCLK_3200.D2D_4.0,[VST A0 PO] NVL-HX8164 32EU - Phatom Creek,"[VST B0 PO] NVL-HX8164 32EU - Static PO ",[VST A0 PO] NVL-HX8164 32EU - Phatom Creek
CNVI_USB2_BLUETOOTH_SUPPORT,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
CNVI_DID,string,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340,D340
clearImnIndicator,string,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
CACHE_QOS_ENFORCEMENT_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
buildInLocation,string,"AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1","AZ04-AZ04,CNA2-CNA2,CNE8-CNE8,CRA6-CRA6,MYA5-MYA5,MYB0-MYB0,MYB1-MYB1,MYB9-MYB9,VNA1-VNA1"
BOOT_GUARD_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
BASE_DIE_STEPPING,string,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0,A0
BASE_DIE_CONFIG,string,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX,BASE_HX
BASE_CLOCK_MAX_MHZ_RATE,string,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUDIO_CONTEXT_ENGINE_DID,string,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328,D328
ALL_CORE_TURBO_FREQ_SMALL_CORE_UOM,string,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ,GHZ
ALL_CORE_TURBO_FREQ_SMALL_CORE,string,3.6,3.7,3.2,3.7,3.6,3.7,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.9,3.6,3.5,3.6,3.9,3.7,3.7,3.6,3.7,3.5,3.7
ALL_CORE_TURBO_FREQ_RATE,string,4.4,4.6,3.9,4.6,4.5,4.6,4.6,4.6,4.4,4.6,4.6,4.4,4.4,4.4,4.6,4.7,4.6,4.4,4.8,4.4,4.5,4.5,4.8,4.7,4.6,4.4,4.6,4.5,4.6
AES_INSTR_SET_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ADSP_ENHANCED_AUDIO,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
ACE_SILICON_SKU_ID,string,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D_IMAGE_SIGNAL_PROCESSING_IND,string,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED
IS_ENABLED,string,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
QDF_SSPEC,string,L2P4,L2JZ,L2LD,L2LA,QAFJ,L2LX,L2LY,L2K0,L2LZ,L2P1,QAFH,L2LC,L2M0,L2M3,QAFL,L2P0,L2L9,L2K1,L2LW,L2K2,L2K9,L2P3,L2M5,QAFK,L2M2,QAFM,L2M1,L2JW,L2P2
Item_Status,string,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
DI_TDP,string,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W,55W
DI_SKU,string,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 4+8 +4,NVL HX 8+16 +4,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+12 +4,NVL HX 8+12 +4,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+12 +4,NVL HX 8+16 +4,NVL HX 8+16 +4,NVL HX 8+16 +4
